blank	-	-	산봉우리에 반쯤 걸터앉아 그날의 마지막 빛을 은은하게 뿌리고 있는 해가, 힘없는 모습으로 인적 없는 길을 지나고 있는 레이나 핀토스를 비치고 있었다. 숨을 쉴 때마다 뿜어져 나오는 하얀 입김이 주위의 기온을 짐작케 했다.
reina	-	레이나	(탈출이 불가능하지는 않았으니, 나 외에도 빠져나간 사람이 있을지도 몰라. 그렇다면 생존자를 찾아보는 게 우선이다. 하지만 이미 뿔뿔이 흩어져 버렸을 거고, 목걸이 정도로는 어림도 없겠지......)
blank	-	-	그런 생각을 하고 있던 찰나. 자기도 모르게 걸음이 멈추고 상체의 균형이 앞으로 확 쏠리는 것이 느껴진다.
reina	-	레이나	(당황)우왓?!
blank	-	-	뭔가에 걸려 넘어지는가 싶었지만, 발이 땅에 붙어 떨어지지 안은 덕분에 가까스로 자세를 고쳐잡았다.
reina	-	레이나	?!
notshown	-	???	오! 걸렸다 걸렸어! 뭣들 해! 빨리 안 가고!
notshown2	-	???	예!
reina	-	레이나	아, 안 움직이네......?
bianca	-	비앙카	왜냐면, 그거 내가 밤새 깔아둔 속박진이거든!
blank	-	-	들뜬 목소리의 주인은 분명 최근에 본 적이 있는 얼굴이었다. 며칠 전 황궁에서 자신을 습격한 아스터의 요원.
reina	-	레이나	(기본)넌......!
bianca	-	비앙카	(위협)아스터 특수작전과 요원. 비앙카 프레이! 지금부터 레이나 핀토스를 압송한다!
bianca	-	비앙카	휴우. 며칠 동안 네 흔적만 따라다니면서 마법진을 깔아대느라 얼마나 고생한 줄 알아?
bianca	-	비앙카	(웃음)하지만 이제 돌아가서 노엘 님께 칭찬받고 초과근무에 위험수당과 성과급을 신청하는 일만 남았군! 우헤헷!

